SalesPrice,MSSubClass,MSZoning,LotFrontage,LotArea,GrLivArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,pool,OverallQual,OverallCond,YearBuilt,YearRemodAdd,FullBath,KitchenAbvGr,KitchenQual,Fireplaces,GarageType,GarageCars,GarageArea,GarageCond,OpenPorchSF,MiscVal,Furnished,TotalSqFt
175500,160,RM,21,1680,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1973,1973,1,1,TA,0,Detchd,1,264,TA,0,0,no,1470
123600,180,RM,21,1596,988,Reg,Inside,Lafield,Norm,Twnhs,SLvl,no,4,5,1973,1973,1,1,TA,0,BuiltIn,1,297,TA,101,0,no,1450
174400,160,RM,24,2016,1302,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,5,5,1970,1970,2,1,TA,0,Detchd,2,440,TA,0,0,no,1932
181500,160,RM,24,2368,1365,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,5,6,1970,1970,1,1,TA,0,Attchd,2,440,TA,36,0,no,2130
204400,160,RM,24,1920,1365,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,5,5,1971,1971,1,1,TA,0,Detchd,2,440,TA,36,0,yes,2130
245900,160,RL,24,2308,1322,Reg,Inside,Tane,Norm,TwnhsE,2Story,no,6,5,1974,1974,2,1,TA,1,Attchd,2,440,TA,0,0,no,2177
245300,160,RL,24,2308,1548,Reg,Corner,Tane,Norm,TwnhsE,2Story,no,6,6,1976,1976,2,1,Gd,1,Detchd,2,440,TA,0,0,no,2352
267500,160,RL,24,2280,1456,Reg,FR2,Tane,Norm,Twnhs,2Story,no,6,6,1976,1976,2,1,TA,1,Attchd,2,440,TA,0,0,no,2311
215100,160,RL,24,2280,1456,Reg,Inside,Tane,Norm,Twnhs,2Story,no,6,5,1978,1978,2,1,TA,1,Attchd,2,440,TA,0,0,no,2311
231500,160,RL,24,2289,1441,Reg,Inside,Tane,Norm,Twnhs,2Story,no,6,6,1978,1978,2,1,TA,1,Attchd,2,440,TA,0,0,no,2296
240700,160,RM,24,1950,1556,Reg,Inside,Tistin,Norm,Twnhs,2Story,no,6,6,1980,1980,2,1,TA,1,Attchd,2,452,TA,0,0,no,2272
169400,160,RM,24,1300,1229,Reg,Inside,Tistin,Norm,TwnhsE,2Story,no,6,6,1980,1980,1,1,TA,1,Attchd,2,462,TA,0,0,no,1790
357000,160,FV,24,2280,1501,Reg,Inside,Todon,Norm,Twnhs,2Story,no,7,5,1999,1999,2,1,TA,0,Detchd,2,440,TA,0,0,no,2245
387800,160,FV,24,2160,1252,Reg,Inside,Todon,Norm,Twnhs,2Story,yes,7,5,1999,2000,2,1,Gd,0,Detchd,2,462,TA,48,0,no,1852
373500,160,FV,24,2645,1739,Reg,Inside,Todon,Norm,Twnhs,2Story,no,8,5,1999,2000,2,1,Gd,0,Attchd,2,480,TA,0,0,yes,2709
309300,160,FV,24,2572,1416,Reg,FR2,Todon,Norm,Twnhs,2Story,no,7,5,1999,1999,2,1,Gd,0,Detchd,2,484,TA,44,0,no,2112
354200,160,FV,24,2645,1441,Reg,Inside,Todon,Norm,Twnhs,2Story,no,8,5,1999,2000,2,1,Gd,0,Detchd,2,492,TA,0,0,yes,2217
341900,160,RM,24,2522,1709,Reg,Inside,Tistin,Norm,Twnhs,2Story,no,6,5,2004,2006,2,1,Gd,0,Detchd,2,380,TA,40,0,no,2679
361500,160,RM,24,2522,1709,Reg,Inside,Tistin,Norm,Twnhs,2Story,no,7,5,2004,2004,2,1,Gd,0,Detchd,2,380,TA,40,0,no,2679
346300,160,RM,24,2522,1709,Reg,Inside,Tistin,Norm,Twnhs,2Story,no,7,5,2004,2004,2,1,Gd,0,Detchd,2,380,TA,40,0,no,2679
429900,160,FV,24,2544,1223,Reg,Inside,Todon,Norm,Twnhs,2Story,no,7,5,2005,2005,2,1,Gd,0,Detchd,2,480,TA,166,0,no,1743
388700,30,RM,30,5232,764,IR3,Inside,Tistin,Artery,1Fam,1Story,yes,5,5,1925,2004,1,1,TA,0,Detchd,2,504,TA,0,0,yes,1444
494200,120,RL,30,9549,1494,IR1,CulDSac,Todon,Norm,TwnhsE,1Story,no,8,5,1995,1996,1,1,Ex,1,Attchd,2,481,TA,30,0,no,2988
416500,160,FV,30,3182,1200,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,7,5,2004,2005,2,1,Gd,0,Detchd,2,480,TA,172,0,no,1800
438700,160,FV,30,3180,1200,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,7,5,2005,2005,2,1,Gd,0,Detchd,2,480,TA,166,0,no,1720
435800,160,FV,30,3180,1200,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,7,5,2005,2005,2,1,Gd,0,Detchd,2,480,TA,166,0,no,1720
476100,160,FV,30,3000,1224,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,6,5,2009,2009,2,1,Gd,0,Detchd,2,528,TA,234,0,no,1836
547100,120,RL,32,10846,1719,IR1,CulDSac,Todon,Norm,TwnhsE,1Story,no,8,5,1993,1993,1,1,Gd,2,Attchd,2,473,TA,30,0,yes,3438
274800,120,RM,32,4500,1216,Reg,FR2,Kence,Norm,Twnhs,1Story,no,6,5,1998,1998,2,1,TA,0,Attchd,2,402,TA,125,0,no,2432
256400,120,RM,32,4500,1337,Reg,FR2,Kence,Norm,TwnhsE,1Story,no,6,5,1998,1998,2,1,TA,0,Attchd,2,405,TA,199,0,no,2574
262900,120,RM,32,4500,1204,Reg,FR2,Kence,Norm,TwnhsE,1Story,no,6,5,1998,1998,2,1,TA,0,Attchd,2,412,TA,247,0,no,2408
375100,160,RM,32,3363,1708,Reg,Inside,Tistin,Norm,TwnhsE,2Story,no,7,5,2004,2004,2,1,Gd,0,Detchd,2,380,TA,40,0,no,2684
291500,190,RM,33,4456,1452,Reg,Inside,Tistin,Norm,2fmCon,2Story,no,4,5,1920,2008,2,3,TA,0,NA,0,0,NA,0,0,no,2188
290400,70,RM,34,4571,1344,Reg,Inside,Tistin,Norm,1Fam,2Story,no,5,5,1916,1950,1,1,TA,0,Detchd,3,513,Fa,0,0,yes,1968
161700,120,RH,34,4058,767,Reg,Inside,Kence,Norm,TwnhsE,SFoyer,no,7,5,1998,1998,1,1,TA,0,Attchd,1,367,TA,40,0,no,1490
266700,120,RH,34,4060,1337,Reg,Inside,Kence,Norm,TwnhsE,1Story,no,6,5,1998,1999,2,1,Gd,0,Attchd,2,511,TA,68,0,no,2742
338300,160,FV,34,3230,1458,Reg,Corner,Todon,Norm,TwnhsE,2Story,no,6,5,1999,1999,2,1,TA,1,Detchd,2,440,TA,32,0,no,2187
364800,160,FV,34,3230,1471,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,6,5,1999,1999,2,1,TA,0,Detchd,2,440,TA,24,0,no,2200
495600,120,RL,34,5381,1306,IR1,Inside,Buver,Norm,Twnhs,1Story,no,6,5,2005,2005,2,1,Gd,1,Attchd,2,624,TA,63,0,no,2612
550500,120,RL,34,4590,1554,Reg,Inside,Buver,Norm,Twnhs,1Story,no,8,5,2006,2006,2,1,Gd,1,Attchd,2,627,TA,73,0,yes,3108
427400,160,FV,34,3604,1392,Reg,Corner,Todon,Norm,TwnhsE,2Story,no,7,5,2007,2007,2,1,Gd,0,Detchd,2,540,TA,102,0,no,2081
513500,120,RL,34,5063,1314,Reg,Inside,Buver,Norm,Twnhs,1Story,no,7,5,2007,2008,2,1,Gd,1,Attchd,2,626,TA,62,0,no,2628
546700,120,RL,34,5001,1314,IR1,Inside,Buver,Norm,Twnhs,1Story,no,7,5,2007,2008,2,1,Gd,1,Attchd,2,626,TA,62,0,no,2628
239600,75,RM,35,6300,1484,Reg,Inside,Tistin,Norm,1Fam,2.5Unf,no,6,6,1914,2001,2,1,TA,1,NA,0,0,NA,291,0,yes,2226
277300,90,RL,35,9400,980,IR1,CulDSac,Tistin,Norm,Duplex,SFoyer,yes,6,5,1975,1975,2,0,TA,0,NA,0,0,NA,0,0,no,1925
316600,160,FV,35,3735,1452,Reg,FR3,Todon,Norm,TwnhsE,2Story,no,7,5,1999,1999,2,1,Gd,0,Detchd,2,506,TA,34,0,no,2143
335000,180,RM,35,3675,1072,Reg,Inside,Tistin,Norm,TwnhsE,SFoyer,no,6,5,2005,2006,2,1,TA,0,Basment,2,525,TA,44,0,no,1619
360200,180,RM,35,3675,1072,Reg,Inside,Tistin,Norm,TwnhsE,SLvl,no,5,5,2005,2005,1,1,TA,0,Basment,2,525,TA,28,0,no,1619
415700,180,RM,35,3675,1072,Reg,Inside,Tistin,Norm,TwnhsE,SLvl,yes,6,5,2005,2005,1,1,TA,0,Basment,2,525,TA,28,0,no,1619
433000,160,FV,35,4251,1250,IR1,Inside,Todon,Norm,TwnhsE,2Story,no,7,5,2006,2007,2,1,Gd,0,Detchd,2,528,TA,54,0,no,1875
487400,120,FV,35,4274,1241,IR1,Inside,Todon,Norm,TwnhsE,1Story,no,7,5,2006,2007,1,1,Gd,0,Attchd,2,569,TA,116,0,no,2482
457700,160,FV,35,4017,1250,IR1,Inside,Todon,Norm,TwnhsE,2Story,no,7,5,2006,2007,2,1,Gd,0,Detchd,2,625,TA,54,0,no,1875
332300,20,RL,36,15523,864,IR1,CulDSac,Enstol,Norm,1Fam,1Story,no,5,6,1972,1972,1,1,TA,1,Attchd,1,338,TA,0,0,no,1728
164800,160,RM,36,2592,1112,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,5,3,1976,1976,1,1,TA,0,Attchd,1,336,TA,0,0,no,1648
434200,120,RM,36,4435,848,Reg,Inside,Enstol,Norm,TwnhsE,1Story,no,6,5,2003,2003,1,1,Gd,0,Attchd,2,420,TA,0,0,no,1696
449900,160,RL,36,2448,1626,Reg,Inside,Buver,Norm,Twnhs,2Story,no,7,5,2003,2004,2,1,Gd,0,BuiltIn,2,474,TA,27,0,no,2390
506100,160,RL,36,2268,1626,Reg,Inside,Buver,Norm,Twnhs,2Story,no,7,5,2003,2004,2,1,Gd,0,BuiltIn,2,474,TA,27,0,no,2390
202000,20,RL,37,6951,923,IR1,CulDSac,Kence,Norm,1Fam,1Story,no,5,5,1984,1985,1,1,TA,0,Attchd,1,264,TA,0,0,yes,1799
265100,80,RL,37,7937,1003,IR1,CulDSac,Kence,Norm,1Fam,SLvl,no,6,6,1984,1984,1,1,TA,0,Detchd,2,588,TA,0,0,yes,2006
555900,120,RM,37,4435,848,Reg,Inside,Enstol,Norm,TwnhsE,1Story,yes,6,5,2003,2003,1,1,Gd,0,Attchd,2,420,TA,0,0,no,1696
539000,120,RM,37,4435,848,Reg,Inside,Enstol,Norm,TwnhsE,1Story,yes,6,5,2004,2004,1,1,Gd,1,Attchd,2,420,TA,0,0,no,1696
549100,120,FV,37,3316,1247,IR1,Inside,Todon,Norm,TwnhsE,1Story,yes,8,5,2005,2005,1,1,Gd,1,Attchd,2,550,TA,84,0,no,2494
485700,120,RL,38,14963,1288,IR2,Inside,Todon,Norm,TwnhsE,1Story,no,8,5,1996,1996,1,1,Ex,2,Attchd,2,500,TA,30,0,yes,2548
411800,120,RL,39,5389,1616,IR1,Inside,Buver,Norm,TwnhsE,1Story,no,8,5,1995,1996,2,1,Gd,1,Attchd,2,608,TA,152,0,no,3211
246800,30,RL,40,4280,694,Reg,Inside,Enstol,Norm,1Fam,1Story,no,5,6,1913,2002,1,1,Gd,1,Detchd,1,352,TA,0,0,yes,1134
236500,30,RM,40,4800,1196,Reg,Inside,Lafield,Norm,1Fam,1Story,no,4,7,1916,1990,1,1,TA,0,Detchd,2,440,TA,0,0,yes,2392
332300,50,RL,40,12513,1738,IR1,FR2,Kence,Feedr,1Fam,1.5Fin,no,4,4,1920,2007,2,1,TA,1,Attchd,1,368,TA,0,0,yes,2453
236100,50,RM,40,4400,1118,Reg,Inside,Tistin,Norm,1Fam,1.5Fin,no,6,8,1920,1950,1,1,TA,0,Detchd,2,440,TA,0,0,yes,1766
121200,30,RM,40,3636,796,Reg,Inside,Lafield,Norm,1Fam,1Story,no,4,4,1922,1950,1,1,TA,0,NA,0,0,NA,0,0,yes,1592
441400,40,RM,40,5400,1616,Reg,Corner,Tistin,Norm,1Fam,1Story,yes,6,7,1926,2004,2,1,Gd,0,Detchd,1,216,TA,0,0,no,2765
159500,30,RM,40,3880,866,Reg,Inside,Tistin,Norm,1Fam,1Story,no,5,9,1945,1997,1,1,Gd,0,NA,0,0,NA,42,0,yes,1552
305100,20,RL,40,13673,1696,IR1,CulDSac,Tistin,RRAe,1Fam,1Story,no,5,5,1962,1962,1,1,TA,1,Attchd,1,349,TA,30,0,yes,2836
394800,120,RL,40,4671,1228,IR1,Inside,Buver,Norm,TwnhsE,1Story,no,8,5,1988,1989,2,1,Gd,1,Attchd,2,472,TA,120,0,yes,2456
464300,120,RL,40,5664,1659,IR1,Inside,Buver,Norm,TwnhsE,1Story,no,8,5,2000,2000,2,1,Ex,1,Attchd,2,499,TA,59,0,no,3160
534800,120,RL,40,6792,1368,IR1,Inside,Buver,Norm,TwnhsE,1Story,no,7,5,2005,2006,2,1,Gd,1,Attchd,2,474,TA,35,0,no,2736
528900,160,FV,40,3951,1224,Reg,Corner,Todon,Norm,TwnhsE,2Story,yes,6,5,2009,2009,2,1,Gd,0,Detchd,2,528,TA,234,0,no,1836
307500,20,RL,41,9790,1342,Reg,Inside,Hephis,Feedr,1Fam,1Story,no,6,5,1967,1967,2,1,TA,1,Attchd,2,457,TA,0,0,yes,2714
218400,160,RM,41,2665,1475,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,5,6,1977,1977,2,1,TA,1,Attchd,1,336,TA,26,0,no,2232
355400,120,RL,41,5395,1337,IR1,Inside,Buver,Norm,TwnhsE,1Story,no,8,5,1993,1993,2,1,Gd,1,Attchd,2,462,TA,0,0,yes,2674
447000,120,RL,41,5330,1652,Reg,Inside,Buver,Norm,TwnhsE,1Story,no,8,5,2000,2000,2,1,Ex,0,Attchd,2,499,TA,48,0,yes,3146
440600,120,RL,41,4920,1338,Reg,Inside,Buver,Norm,TwnhsE,1Story,no,8,5,2001,2001,2,1,Gd,0,Attchd,2,582,TA,0,0,yes,2676
515800,120,RL,41,4923,1593,Reg,Inside,Buver,Norm,TwnhsE,1Story,no,8,5,2001,2002,1,1,Ex,1,Attchd,2,682,TA,120,0,yes,3186
427200,120,RM,41,4438,848,Reg,Inside,Enstol,Norm,TwnhsE,1Story,no,6,5,2004,2004,1,1,Gd,1,Attchd,2,420,TA,0,0,no,1696
569700,60,RL,41,12393,1948,IR2,FR2,Enstol,Norm,1Fam,2Story,no,7,5,2004,2005,2,1,Gd,1,BuiltIn,2,434,TA,48,0,yes,2795
383700,70,RL,42,7500,1494,IR1,Inside,Enstol,Norm,1Fam,2Story,no,6,7,1942,1950,1,1,Gd,2,Attchd,1,213,TA,0,0,yes,2265
253800,160,RM,42,3964,2521,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,6,4,1973,1973,2,1,TA,1,Attchd,2,576,TA,20,0,no,3463
263600,90,RL,42,7711,1440,IR1,Inside,Tistin,Norm,Duplex,1Story,no,4,3,1977,1977,2,2,TA,0,NA,0,0,NA,0,0,no,2880
634100,60,RL,42,26178,2519,IR1,Inside,Todon,Norm,1Fam,2Story,no,7,5,1989,1990,2,1,Gd,2,Attchd,2,628,TA,27,0,no,3729
720700,20,RL,42,14892,1746,IR1,CulDSac,Hephis,Norm,1Fam,1Story,no,9,5,2006,2007,2,1,Ex,2,Attchd,3,758,TA,39,0,yes,3492
259300,30,RL,43,7446,788,Reg,Corner,Lafield,Feedr,1Fam,1Story,yes,4,5,1941,1950,1,1,TA,2,NA,0,0,NA,0,0,yes,1576
264400,20,RL,43,10659,1050,IR1,Inside,Kence,Norm,1Fam,1Story,no,5,6,1961,1961,1,1,TA,0,Attchd,1,368,TA,319,0,yes,2100
322400,20,RL,43,8246,1060,IR1,Inside,Tistin,Norm,1Fam,1Story,yes,5,8,1968,2001,1,1,Gd,1,Attchd,1,270,TA,90,0,no,2120
369100,20,RL,43,13568,990,IR2,CulDSac,Enstol,Norm,1Fam,1Story,no,5,5,1995,1995,1,1,TA,0,Attchd,2,576,TA,0,0,yes,1980
549100,60,RL,43,10667,1661,IR2,CulDSac,Enstol,PosN,1Fam,2Story,yes,7,6,1996,1996,2,1,Gd,1,Attchd,2,550,TA,61,0,no,2460
449000,120,RL,43,3182,1269,Reg,Inside,Flona,Norm,TwnhsE,1Story,no,8,5,2004,2005,2,1,Gd,1,Attchd,2,430,TA,20,0,yes,2525
548300,20,RL,43,12118,1710,IR1,CulDSac,Kence,Norm,1Fam,1Story,no,7,5,2004,2005,2,1,Gd,1,Attchd,2,550,TA,48,0,yes,3420
384500,120,RL,43,3182,1145,Reg,Inside,Flona,Norm,TwnhsE,1Story,no,7,5,2005,2006,2,1,Gd,1,Attchd,2,397,TA,16,0,no,2290
435000,120,RL,43,3182,1555,Reg,Inside,Flona,Norm,TwnhsE,1Story,no,7,5,2005,2006,2,1,Gd,1,Attchd,2,430,TA,20,0,no,2928
473000,120,RL,43,3182,1504,Reg,Inside,Flona,Norm,TwnhsE,1Story,yes,7,5,2005,2006,2,1,Gd,1,Attchd,2,437,TA,20,0,no,2850
412200,120,RL,43,3010,1248,Reg,Inside,Flona,Norm,TwnhsE,1Story,no,7,5,2005,2006,2,1,Gd,0,Attchd,2,438,TA,0,0,no,2496
437000,120,RL,43,3013,1506,Reg,Inside,Flona,Norm,TwnhsE,1Story,no,7,5,2005,2005,2,1,Gd,1,Attchd,2,440,TA,20,0,no,2868
418800,120,RL,43,3182,1504,Reg,Inside,Flona,Norm,TwnhsE,1Story,no,7,5,2005,2006,2,1,Gd,1,Attchd,2,457,TA,0,0,no,2850
536600,120,RL,43,7052,1364,IR1,Inside,Buver,Norm,TwnhsE,1Story,no,7,5,2005,2005,2,1,Gd,1,Attchd,2,484,TA,36,0,no,2728
385100,20,RL,43,3182,1266,Reg,Inside,Flona,Norm,1Fam,1Story,no,7,5,2007,2007,2,1,Gd,1,Attchd,2,388,TA,16,0,yes,2532
310900,50,RL,44,13650,1920,Reg,Inside,Tistin,Norm,1Fam,1.5Fin,no,5,5,1958,1958,2,1,Gd,1,Attchd,2,451,TA,0,0,yes,2972
215200,120,RM,44,4224,1142,Reg,Inside,Lafield,Norm,TwnhsE,1Story,no,5,5,1976,1976,1,1,TA,1,Attchd,2,528,TA,90,0,no,2284
215300,120,RM,44,4224,1060,Reg,Inside,Lafield,Norm,TwnhsE,1Story,no,5,7,1976,1976,1,1,TA,1,Attchd,2,572,TA,110,0,no,2100
447400,160,RL,44,5306,1767,IR1,Inside,Buver,Norm,TwnhsE,2Story,no,7,7,1987,1987,2,1,Gd,1,Attchd,2,504,TA,35,0,no,2831
453100,50,RL,44,13837,2183,IR1,Corner,Hephis,Norm,1Fam,1.5Fin,no,7,5,1988,1988,2,1,Gd,0,Attchd,3,786,TA,0,0,yes,3387
740300,20,RL,44,21695,1680,IR1,Corner,Enstol,Norm,1Fam,1Story,yes,6,9,1988,2007,2,1,Gd,1,Attchd,2,540,TA,44,0,yes,2560
419200,50,RL,44,13758,1717,IR1,CulDSac,Todon,Norm,1Fam,1.5Fin,no,7,5,1990,1991,2,1,Gd,1,Attchd,2,400,TA,36,0,no,2873
557400,60,RL,44,9548,1829,IR1,CulDSac,Enstol,Norm,1Fam,2Story,no,7,6,2003,2003,2,1,Gd,1,Attchd,2,613,TA,39,0,yes,2770
589800,120,RM,44,3842,1646,IR1,Inside,Enstol,Norm,TwnhsE,1Story,no,8,5,2004,2005,2,1,Gd,1,Attchd,2,482,TA,53,0,yes,3240
589000,120,RL,44,6442,1370,IR1,Inside,Buver,Norm,TwnhsE,1Story,yes,8,5,2006,2006,2,1,Gd,1,Attchd,2,484,TA,49,0,no,2740
554300,120,RM,44,4750,1625,IR1,Inside,Enstol,Norm,TwnhsE,1Story,no,8,5,2006,2007,2,1,Gd,1,Attchd,2,538,TA,0,0,yes,3198
544800,120,RL,44,6371,1358,IR1,Inside,Buver,Norm,TwnhsE,1Story,no,7,5,2009,2010,2,1,Gd,1,Attchd,2,484,TA,35,0,no,2716
145400,30,RL,45,8248,864,Reg,Inside,Tistin,Norm,1Fam,1Story,no,3,3,1914,1950,1,1,TA,0,NA,0,0,NA,0,0,yes,1728
206600,50,RL,45,8248,1250,Reg,Inside,Tistin,Norm,1Fam,1.5Fin,no,5,7,1918,1950,1,1,Fa,0,Detchd,1,280,TA,0,0,yes,1936
342000,20,RL,45,14585,1429,IR1,CulDSac,Kence,Norm,1Fam,1Story,no,6,6,1960,1987,1,1,Gd,2,Attchd,2,572,TA,110,0,yes,2573
357000,60,RL,45,9900,1978,Reg,Inside,Hephis,Feedr,1Fam,2Story,no,7,5,1968,1968,2,1,TA,1,Attchd,2,486,TA,43,0,yes,2810
323200,50,RM,46,3950,1224,Reg,Inside,Tistin,Artery,1Fam,1.5Fin,no,6,8,1926,2004,1,1,TA,0,Detchd,1,210,TA,0,0,yes,2042
389900,20,RL,46,11250,1208,IR1,Inside,Todon,Norm,1Fam,1Story,no,6,6,1977,1977,1,1,TA,1,Attchd,2,546,TA,42,0,yes,2416
374500,60,RL,46,20544,2093,IR1,CulDSac,Hephis,Norm,1Fam,2Story,no,7,6,1986,1991,2,1,TA,1,Attchd,2,542,TA,63,0,no,2884
145800,30,RM,47,4608,747,Reg,Corner,Tistin,Artery,1Fam,1Story,no,4,6,1945,1950,1,1,TA,0,Attchd,1,220,TA,0,0,no,1494
326000,20,RL,47,16321,1600,IR1,CulDSac,Kence,Norm,1Fam,1Story,no,5,6,1957,1997,1,1,TA,2,Attchd,1,319,TA,258,0,yes,3084
216300,20,RL,47,7162,904,IR1,Inside,Tistin,Norm,1Fam,1Story,no,5,7,1966,1966,1,1,TA,0,Attchd,1,408,TA,0,0,yes,1780
453300,60,RL,47,14803,1993,IR1,CulDSac,Hephis,Norm,1Fam,2Story,yes,6,5,1971,1971,2,1,TA,1,Attchd,2,495,TA,66,0,yes,2818
535400,20,RL,47,12416,1651,IR1,Inside,Todon,Norm,1Fam,1Story,yes,6,5,1986,1986,2,1,TA,1,Attchd,2,616,TA,0,0,yes,3257
568800,20,RL,47,11838,1788,Reg,Inside,Enstol,Norm,1Fam,1Story,yes,8,5,2001,2001,2,1,Ex,1,Attchd,2,522,TA,151,0,yes,3541
1068500,60,RL,47,53504,3279,IR2,CulDSac,Buver,Norm,1Fam,2Story,no,8,5,2003,2003,3,1,Ex,1,BuiltIn,3,841,TA,36,0,yes,4929
493300,120,FV,47,4230,1352,Reg,Corner,Todon,Norm,TwnhsE,1Story,no,7,5,2006,2007,2,1,Gd,1,Attchd,2,466,TA,241,0,no,2704
374700,50,RL,48,11250,1788,Reg,Inside,Todon,Norm,1Fam,1.5Fin,no,4,5,1957,1989,1,1,TA,2,Attchd,1,304,TA,0,0,yes,2892
337500,20,RL,48,17043,1586,IR1,CulDSac,Hephis,Norm,1Fam,1Story,no,6,5,1979,1998,2,1,TA,1,Attchd,2,435,TA,0,0,no,2948
466000,20,RL,48,12137,1661,IR2,CulDSac,Enstol,Norm,1Fam,1Story,no,7,5,1998,1998,2,1,Gd,0,Attchd,2,598,TA,34,0,yes,3310
648200,20,RL,48,14781,1787,IR2,CulDSac,Enstol,Norm,1Fam,1Story,no,8,5,2001,2002,2,1,Gd,1,Attchd,3,748,TA,150,0,yes,3540
641900,50,RL,48,12822,2149,IR1,CulDSac,Kence,Norm,1Fam,1.5Fin,yes,7,5,2003,2003,1,1,Gd,1,Attchd,2,670,TA,43,0,yes,3583
549200,120,RL,48,6955,1368,IR1,Inside,Buver,Norm,TwnhsE,1Story,no,7,5,2005,2006,2,1,Gd,1,Attchd,2,474,TA,35,0,no,2736
